epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
110,2773.76,0.62559,0.33213,1.01465,0.98271,0.99153,0.99474,0.80242,0.77276,0.35291,1.22142,0.0012806,0.0012806,0.0012806
111,2798.93,0.64238,0.32814,1.01862,0.99148,0.98606,0.99466,0.78925,0.80383,0.336,1.23693,0.001274,0.001274,0.001274
112,2824.14,0.63554,0.33101,1.01586,0.99576,0.9941,0.99492,0.76273,0.90039,0.36038,1.33405,0.0012674,0.0012674,0.0012674
113,2849.11,0.63817,0.32669,1.00794,0.98257,0.99153,0.99462,0.80006,0.79606,0.34932,1.23352,0.0012608,0.0012608,0.0012608
114,2874.18,0.6544,0.33376,1.02642,0.99147,0.98503,0.99466,0.80509,0.79074,0.33995,1.24968,0.0012542,0.0012542,0.0012542
115,2899.3,0.64743,0.32726,1.02629,0.98734,0.99116,0.99474,0.80076,0.83213,0.3573,1.26781,0.0012476,0.0012476,0.0012476
116,2924.26,0.64602,0.33186,1.01307,0.98318,0.99098,0.99466,0.79698,0.84207,0.35381,1.29541,0.001241,0.001241,0.001241
117,2949.31,0.6102,0.3169,0.99966,0.98671,0.98305,0.99338,0.81483,0.80672,0.35892,1.24006,0.0012344,0.0012344,0.0012344
118,2974.64,0.62936,0.32844,1.01645,0.97915,0.995,0.99449,0.78881,0.84129,0.35656,1.28805,0.0012278,0.0012278,0.0012278
119,2999.95,0.64124,0.34621,1.00423,0.98169,0.98305,0.99438,0.77686,0.87335,0.36484,1.32763,0.0012212,0.0012212,0.0012212
120,3025.31,0.62401,0.32734,1.00583,0.9846,0.97881,0.99397,0.78453,0.84528,0.34388,1.29826,0.0012146,0.0012146,0.0012146
121,3050.33,0.62718,0.32381,1.0205,0.97895,0.99153,0.99454,0.82307,0.7522,0.32087,1.18761,0.001208,0.001208,0.001208
122,3075.59,0.60126,0.30902,1.00618,0.99737,0.98305,0.99455,0.80208,0.81228,0.34762,1.23912,0.0012014,0.0012014,0.0012014
123,3100.68,0.60354,0.30789,0.99459,0.99155,0.9943,0.9944,0.80281,0.80398,0.33791,1.23777,0.0011948,0.0011948,0.0011948
124,3125.87,0.60507,0.30761,0.99384,0.97834,0.99153,0.99441,0.80019,0.81432,0.34436,1.25836,0.0011882,0.0011882,0.0011882
125,3151.03,0.61316,0.31801,1.00341,0.97897,0.9864,0.99405,0.79661,0.8366,0.35735,1.30256,0.0011816,0.0011816,0.0011816
